"country","country_name","population","people_urb","units_urb","residential_urb","people_rur","units_rur","residential_rur"
"AGO","Angola",32866268,5,1.1,0.5,5,1,0.5
"BEN","Benin",12123198,5.2,1.1,0.5,5.2,1,0.5
"BWA","Botswana",2351625,3.5,1.1,0.5,3.5,1,0.5
"BFA","Burkina Faso",20903278,5.9,1.1,0.5,5.9,1,0.5
"BDI","Burundi",11890781,4.8,1.1,0.5,4.8,1,0.5
"CPV","Cabo Verde",555988,4.2,1.1,0.5,4.2,1,0.5
"CMR","Cameroon",26545864,5,1.1,0.5,5,1,0.5
"CAF","Central African Republic",4829764,4.9,1.1,0.5,4.9,1,0.5
"TCD","Chad",16425859,5.8,1.1,0.5,5.8,1,0.5
"COM","Comoros",869595,5.4,1.1,0.5,5.4,1,0.5
"COG","Congo",5518092,4.3,1.1,0.5,4.3,1,0.5
"COD","Congo, Democratic Republic of the",89561404,5.3,1.1,0.5,5.3,1,0.5
"CIV","Cote dIvoire",26378275,5.1,1.1,0.5,5.1,1,0.5
"DJI","Djibouti",988002,6,1.1,0.5,6,1,0.5
"GNQ","Equatorial Guinea",1402985,4.7,1.1,0.5,4.7,1,0.5
"ERI","Eritrea",3546427,5,1.1,0.5,5,1,0.5
"SWZ","Eswatini",1160164,4.7,1.1,0.5,4.7,1,0.5
"ETH","Ethiopia",114963583,4.6,1.1,0.5,4.6,1,0.5
"GAB","Gabon",2225728,4.1,1.1,0.5,4.1,1,0.5
"GMB","Gambia",2416664,8.2,1.1,0.5,8.2,1,0.5
"GHA","Ghana",31072945,3.5,1.1,0.5,3.5,1,0.5
"GIN","Guinea",13132792,6.3,1.1,0.5,6.3,1,0.5
"GNB","Guinea-Bissau",1967998,5,1.1,0.5,5,1,0.5
"KEN","Kenya",53771300,3.6,1.1,0.5,3.6,1,0.5
"LSO","Lesotho",2142252,3.3,1.1,0.5,3.3,1,0.5
"LBR","Liberia",5057677,4.9,1.1,0.5,4.9,1,0.5
"MDG","Madagascar",27691019,4.9,1.1,0.5,4.9,1,0.5
"MWI","Malawi",19129955,4.5,1.1,0.5,4.5,1,0.5
"MLI","Mali",20250834,5.8,1.1,0.5,5.8,1,0.5
"MRT","Mauritania",4649660,5,1.1,0.5,5,1,0.5
"MUS","Mauritius",1271767,3.5,1.1,0.5,3.5,1,0.5
"MOZ","Mozambique",31255435,4.4,1.1,0.5,4.4,1,0.5
"NAM","Namibia",2540916,4.2,1.1,0.5,4.2,1,0.5
"NER","Niger",24206636,5.9,1.1,0.5,5.9,1,0.5
"NGA","Nigeria",206139587,4.9,1.1,0.5,4.9,1,0.5
"REU","Reunion",895308,5,1.1,0.5,5,1,0.5
"RWA","Rwanda",12952209,4.3,1.1,0.5,4.3,1,0.5
"STP","Sao Tome and Principe",219161,3.8,1.1,0.5,3.8,1,0.5
"SEN","Senegal",16743930,8.7,1.1,0.5,8.7,1,0.5
"SYC","Seychelles",98340,3.8,1.1,0.5,3.8,1,0.5
"SLE","Sierra Leone",7976985,5.9,1.1,0.5,5.9,1,0.5
"SOM","Somalia",15893219,5.9,1.1,0.5,5.9,1,0.5
"ZAF","South Africa",59308690,3.4,1.1,0.5,3.4,1,0.5
"SSD","South Sudan",11193729,5.9,1.1,0.5,5.9,1,0.5
"SDN","Sudan",43849269,5.6,1.1,0.5,5.6,1,0.5
"TZA","Tanzania, United Republic of",59734213,4.9,1.1,0.5,4.9,1,0.5
"TGO","Togo",8278737,4.6,1.1,0.5,4.6,1,0.5
"UGA","Uganda",45741000,4.5,1.1,0.5,4.5,1,0.5
"ESH","Western Sahara",597330,5,1.1,0.5,5,1,0.5
"ZMB","Zambia",18383956,5.1,1.1,0.5,5.1,1,0.5
"ZWE","Zimbabwe",14862927,4.1,1.1,0.5,4.1,1,0.5
"DEF","",NA,5,1.1,0.5,5,1,0.5
